group	k	n	d_ub	m4ri_trials	code_id
SmallGroup(1,1)	2	64	8	200000	SmallGroup_1_1__AAp15_0_0_0_0_0_0_0_0_BBp15_0_0_0_0_0_0_0_0_k2_d8
SmallGroup(2,1)	2	128	12	200000	SmallGroup_2_1__AAp15_0_0_0_0_0_0_0_1_BBp15_0_0_0_0_0_1_1_1_k2_d12
SmallGroup(2,1)	4	128	8	200000	SmallGroup_2_1__AAp10_0_0_0_0_1_1_1_1_BBp15_0_0_0_0_0_0_0_1_k4_d8
SmallGroup(2,1)	6	128	8	200000	SmallGroup_2_1__AAp0_0_0_0_0_0_1_1_1_BBp15_0_0_0_0_0_0_0_1_k6_d8
SmallGroup(2,1)	8	128	8	200000	SmallGroup_2_1__AAp10_0_0_0_0_1_1_1_1_BBp13_0_0_0_0_1_1_1_1_k8_d8
SmallGroup(2,1)	10	128	6	200000	SmallGroup_2_1__AAp13_0_0_0_0_0_1_1_1_BBp13_0_0_0_0_0_1_1_1_k10_d6
SmallGroup(2,1)	12	128	8	200000	SmallGroup_2_1__AAp0_0_0_0_0_1_1_1_1_BBp10_0_0_0_0_1_1_1_1_k12_d8
SmallGroup(2,1)	14	128	8	200000	SmallGroup_2_1__AAp0_0_0_0_0_1_1_1_1_BBp13_0_0_0_0_0_1_1_1_k14_d8
SmallGroup(2,1)	16	128	8	200000	SmallGroup_2_1__AAp0_0_0_0_0_1_1_1_1_BBp13_0_0_0_0_1_1_1_1_k16_d8
SmallGroup(2,1)	18	128	8	200000	SmallGroup_2_1__AAp0_0_0_0_0_0_1_1_1_BBp0_0_0_0_0_1_1_1_1_k18_d8
SmallGroup(2,1)	20	128	8	200000	SmallGroup_2_1__AAp0_0_0_0_0_1_1_1_1_BBp0_0_0_0_0_1_1_1_1_k20_d8
SmallGroup(2,1)	24	128	8	200000	SmallGroup_2_1__AAp0_0_0_0_0_1_1_1_1_BBp6_0_0_0_0_1_1_1_1_k24_d8
SmallGroup(2,1)	32	128	6	200000	SmallGroup_2_1__AAp6_0_0_0_0_1_1_1_1_BBp6_0_0_0_0_1_1_1_1_k32_d6
SmallGroup(3,1)	2	192	20	200000	SmallGroup_3_1__AAp15_0_0_1_1_1_1_2_2_BBp15_0_0_0_0_1_1_1_1_k2_d20
SmallGroup(3,1)	4	192	12	200000	SmallGroup_3_1__AAp15_0_0_0_0_0_0_0_1_BBp22_0_0_1_1_1_1_2_2_k4_d12
SmallGroup(3,1)	6	192	12	200000	SmallGroup_3_1__AAp0_0_0_0_0_1_1_1_2_BBp15_0_0_0_0_0_0_0_1_k6_d12
SmallGroup(3,1)	8	192	12	200000	SmallGroup_3_1__AAp15_0_0_0_0_1_1_1_1_BBp6_0_0_0_1_1_2_2_2_k8_d12
SmallGroup(3,1)	10	192	8	200000	SmallGroup_3_1__AAp0_0_0_0_0_1_1_1_1_BBp15_0_0_0_1_1_1_1_2_k10_d8
SmallGroup(3,1)	12	192	12	200000	SmallGroup_3_1__AAp0_0_0_0_0_1_1_1_2_BBp22_0_0_1_1_1_1_2_2_k12_d12
SmallGroup(3,1)	14	192	8	200000	SmallGroup_3_1__AAp0_0_0_0_0_1_1_1_1_BBp3_0_0_0_0_1_1_1_1_k14_d8
SmallGroup(3,1)	16	192	10	200000	SmallGroup_3_1__AAp14_0_0_0_1_1_1_2_2_BBp6_0_0_0_1_1_2_2_2_k16_d10
SmallGroup(3,1)	18	192	8	200000	SmallGroup_3_1__AAp0_0_0_0_0_0_1_1_1_BBp0_0_0_0_0_1_1_1_1_k18_d8
SmallGroup(3,1)	20	192	8	200000	SmallGroup_3_1__AAp0_0_0_0_0_1_1_1_1_BBp22_0_0_0_0_1_1_2_2_k20_d8
SmallGroup(3,1)	22	192	8	200000	SmallGroup_3_1__AAp0_0_0_0_0_1_1_1_1_BBp0_0_0_0_0_1_1_1_1_k22_d8
SmallGroup(3,1)	24	192	8	200000	SmallGroup_3_1__AAp22_0_0_0_0_1_1_2_2_BBp22_0_0_0_0_1_1_2_2_k24_d8
SmallGroup(3,1)	28	192	8	200000	SmallGroup_3_1__AAp6_0_0_0_1_1_1_2_2_BBp0_0_0_0_0_1_1_1_1_k28_d8
SmallGroup(3,1)	32	192	6	200000	SmallGroup_3_1__AAp6_0_0_0_1_1_1_2_2_BBp6_0_0_0_1_1_2_2_2_k32_d6
